DT_REG_IC,NM_IC,VL_IC,VL_VRC_IC,DT_REF
2008-01-01,FIPEZAP,41.811068498625254,....................................................................................................,2024-06-02
2008-02-01,FIPEZAP,42.065077010020694,0.6075149966660093,2024-06-02
2008-03-01,FIPEZAP,42.506114495884376,1.0484647056716714,2024-06-02
2008-04-01,FIPEZAP,43.090376888038406,1.374537285007773,2024-06-02
2008-05-01,FIPEZAP,43.66682236804259,1.33775919737709,2024-06-02
2008-06-01,FIPEZAP,44.31249165100063,1.4786266733953277,2024-06-02
2008-07-01,FIPEZAP,44.908595389006244,1.3452273067839546,2024-06-02
2008-08-01,FIPEZAP,45.375148677227436,1.0388953031815513,2024-06-02
2008-09-01,FIPEZAP,45.83785217110294,1.0197288766300394,2024-06-02
2008-10-01,FIPEZAP,46.36882490056597,1.1583717480501226,2024-06-02
2008-11-01,FIPEZAP,47.110517962658264,1.5995511287654947,2024-06-02
2008-12-01,FIPEZAP,47.943203126129774,1.7675143460140572,2024-06-02
2009-01-01,FIPEZAP,48.604826558414146,1.3800150785581844,2024-06-02
2009-02-01,FIPEZAP,49.245623076693576,1.3183804236176169,2024-06-02
2009-03-01,FIPEZAP,49.79738072934897,1.1204196803360682,2024-06-02
2009-04-01,FIPEZAP,50.54291192053071,1.4971293274112831,2024-06-02
2009-05-01,FIPEZAP,51.2800256808521,1.4583919531196836,2024-06-02
2009-06-01,FIPEZAP,52.08869085515517,1.576959378561751,2024-06-02
2009-07-01,FIPEZAP,53.01319251573822,1.7748606183131783,2024-06-02
2009-08-01,FIPEZAP,53.97870666468058,1.8212714668254126,2024-06-02
2009-09-01,FIPEZAP,54.91186829109262,1.7287587718781572,2024-06-02
2009-10-01,FIPEZAP,55.83941967532714,1.6891637693285049,2024-06-02
2009-11-01,FIPEZAP,56.958097801393464,2.003384226717903,2024-06-02
2009-12-01,FIPEZAP,58.075753360684054,1.9622417223056305,2024-06-02
2010-01-01,FIPEZAP,59.06370174432123,1.7011374394085548,2024-06-02
2010-02-01,FIPEZAP,59.98932085012501,1.5671539007335973,2024-06-02
2010-03-01,FIPEZAP,61.022838317375864,1.7228357524382631,2024-06-02
2010-04-01,FIPEZAP,62.11594690207815,1.7913106221265764,2024-06-02
2010-05-01,FIPEZAP,63.229152524367905,1.7921414351851561,2024-06-02
2010-06-01,FIPEZAP,64.58830213672732,2.1495616469564496,2024-06-02
2010-07-01,FIPEZAP,66.11145930697491,2.358255473294848,2024-06-02
2010-08-01,FIPEZAP,67.6177517458101,2.278413537721243,2024-06-02
2010-09-01,FIPEZAP,69.0281083071036,2.0857785490936505,2024-06-02
2010-10-01,FIPEZAP,70.45179064190228,2.0624675508486714,2024-06-02
2010-11-01,FIPEZAP,72.15332949773283,2.4151818432540084,2024-06-02
2010-12-01,FIPEZAP,73.67573515926473,2.109958988905337,2024-06-02
2011-01-01,FIPEZAP,74.99460567553986,1.7901016032267882,2024-06-02
2011-02-01,FIPEZAP,76.53879595222509,2.0590684660255363,2024-06-02
2011-03-01,FIPEZAP,78.37735380698903,2.4021253952199095,2024-06-02
2011-04-01,FIPEZAP,80.48244990813554,2.685847376693139,2024-06-02
2011-05-01,FIPEZAP,82.54341892290805,2.5607682384481896,2024-06-02
2011-06-01,FIPEZAP,84.46153721932977,2.3237688981760685,2024-06-02
2011-07-01,FIPEZAP,86.22322857171964,2.085791249353082,2024-06-02
2011-08-01,FIPEZAP,87.72210469754425,1.7383669698448585,2024-06-02
2011-09-01,FIPEZAP,89.35080014570002,1.8566534099601444,2024-06-02
2011-10-01,FIPEZAP,90.76218026695766,1.5795942721902485,2024-06-02
2011-11-01,FIPEZAP,92.06123911206664,1.431277698803716,2024-06-02
2011-12-01,FIPEZAP,93.06831013152457,1.0939142566091318,2024-06-02
2012-01-01,FIPEZAP,94.12820412427153,1.1388344660487575,2024-06-02
2012-02-01,FIPEZAP,95.49913989575398,1.4564558882611778,2024-06-02
2012-03-01,FIPEZAP,96.834951116299,1.3987678025196717,2024-06-02
2012-04-01,FIPEZAP,98.03927819219214,1.2436904877937685,2024-06-02
2012-05-01,FIPEZAP,98.96128005500495,0.9404413004809719,2024-06-02
2012-06-01,FIPEZAP,100.0,1.049622584123504,2024-06-02
2012-07-01,FIPEZAP,100.7349224657635,0.7349224657634924,2024-06-02
2012-08-01,FIPEZAP,101.66828305817032,0.9265511597768175,2024-06-02
